n,mean,median,hit_rate,t_stat,profit_factor,wins,losses,binom_p,compounded,drop_top_winners
23,0.01416086429214755,0.011214953271027728,0.8260869565217391,2.784991803641328,5.02635710271548,19,4,0.002599477767944336,0.3730278531003395,0
22,0.011994510297521844,0.009387174259703923,0.8181818181818182,2.4914872762923306,4.26211972272742,18,4,0.004343509674072266,0.2930882915954569,1
21,0.01014214958397619,0.0075593952483801186,0.8095238095238095,2.1762176798459407,3.632958414571526,17,4,0.007197380065917969,0.23046490574593936,2
20,0.008219492446622224,0.007554577514375382,0.8,1.8416055302400491,3.0322151744911303,16,4,0.01181793212890625,0.17344118817335352,3
18,0.005212516216264691,0.007149750087485418,0.7777777777777778,1.1868232780078904,2.159884160571813,14,4,0.0308837890625,0.0948428489009503,5
