sample,n,mean,median,hit_rate,t_stat,profit_factor,wins,losses,binom_p,compounded
Sep ROC<=-0.10 signal weeks,23,0.01416086429214755,0.011214953271027728,0.8260869565217391,2.784991803641328,5.02635710271548,19,4,0.002599477767944336,0.37302785310033926
All September crop-report weeks,61,0.003281261971102547,0.0038628681796233355,0.5901639344262295,1.0129648552816393,1.4020879863669016,36,23,0.20003136851310316,0.19804445805307447
September non-signal crop-report weeks,38,-0.00330376048637206,-0.0008854781582053328,0.4473684210526316,-0.8558448878348505,0.6988671470744181,17,19,0.6271025701571489,-0.12744344162585397
All Jun-Oct crop-report weeks,301,-3.107496647650337e-05,-0.003070624360286489,0.45182724252491696,-0.00877302988213114,0.9978626180473918,136,163,0.10639501883350885,-0.35686834593099026
Jun-Oct ROC<=-0.10 signal weeks,86,0.005834616966954981,0.0036123259773646055,0.5697674418604651,1.4430801215629072,1.543594201931666,49,37,0.23537986221105522,0.5549450767881596
All September session-open days rolling 5d,285,0.002514954839511133,0.0018525379770284456,0.519298245614035,1.7041129872408594,1.2901397584196266,148,134,0.5536928602578838,0.8744533346292169
September monthly buy-and-hold,14,-0.005198437861341411,0.010771251896985135,0.7142857142857143,-0.4007242663965838,0.7416992190426565,10,4,0.1795654296875,-0.08519586251345823
Monthly rolling Jun-Oct long,70,-0.008596321295264683,-0.011334151040349183,0.44285714285714284,-0.89705024264717,0.7506603343346392,31,38,0.40296307504607976,-0.5600986084782366
