n,mean,median,hit_rate,t_stat,profit_factor,wins,losses,binom_p,compounded,iso_week,years,dates
6,-0.0009819474652324283,0.007149750087485418,0.6666666666666666,-0.08637911638264463,0.9052769417584828,4,2,0.6875,-0.007837693386233635,35,6,"2013-09-01, 2016-09-04, 2018-09-02, 2021-09-05, 2023-09-03, 2024-09-01"
6,0.02502861226826854,0.024254216757979452,1.0,2.8395541302045566,inf,6,0,0.03125,0.15861255479017156,36,6,"2013-09-08, 2014-09-07, 2015-09-06, 2019-09-08, 2020-09-06, 2025-09-07"
3,0.003660059078834007,0.0007087172218285254,0.6666666666666666,0.38792164008811336,1.9977321048901557,2,1,1.0,0.010753139025634795,37,3,"2017-09-17, 2022-09-18, 2023-09-17"
5,0.022458163005795905,0.019041365725541715,0.8,2.246434005191379,15.606443708769676,4,1,0.375,0.11637902355158136,38,5,"2015-09-20, 2016-09-25, 2019-09-22, 2022-09-25, 2025-09-21"
3,0.01938296587856514,0.005959475566150285,1.0,1.2257625776498982,inf,3,0,0.25,0.05852623708057858,39,3,"2019-09-29, 2020-09-27, 2025-09-28"
