sim_mean,sim_hit_rate,sim_profit_factor
0.009847966336366093,0.7391304347826086,3.0011316774280345
0.0006619034384036998,0.5217391304347826,1.0709063979801832
0.006181831510971634,0.6956521739130435,2.3696922652534327
0.0028672403358741163,0.5652173913043478,1.3054406950373931
0.007141306175089577,0.6956521739130435,2.117614827997486
-0.002882468962837233,0.5652173913043478,0.7195578453946411
0.0054267639682678,0.6086956521739131,1.6250299698147572
0.0015520708199227694,0.5652173913043478,1.159033453788882
0.0007905699726393188,0.5652173913043478,1.0847392859164546
-0.0014462248689445765,0.6086956521739131,0.8615846512910458
0.0005277804785201577,0.6521739130434783,1.05978217309236
0.0045194412769581985,0.6521739130434783,1.7402239410008509
0.002318657099688216,0.5652173913043478,1.3188858955704776
0.004160956003207693,0.6521739130434783,1.4739586053898366
0.005488832055889043,0.5652173913043478,1.9098578769626233
0.005088370544079908,0.5217391304347826,1.668775569984068
0.0012674316596983177,0.6086956521739131,1.1482907311803219
0.003959834683150227,0.6521739130434783,1.4267119996662392
0.0030314021860714524,0.6956521739130435,1.3295216752981507
0.0032845459115832206,0.6521739130434783,1.3865896998421723
0.0032214702968399213,0.6521739130434783,1.3503700029546974
0.006301070920870381,0.6086956521739131,1.6524602707524798
0.006536167610868533,0.6521739130434783,1.841808499538022
0.0007913553280888613,0.6521739130434783,1.078197471894055
0.006085420370522568,0.5652173913043478,2.2297140528167327
0.005149472951527876,0.6521739130434783,1.7800120560512478
0.0008788318188714515,0.5217391304347826,1.1057204712272617
0.0012561489528655453,0.6086956521739131,1.132540486327952
0.0037772310175726094,0.5652173913043478,1.4899778567476734
0.004174294434826034,0.6521739130434783,1.5132049984821505
0.00350036317140508,0.6086956521739131,1.478131683532484
-0.0006762550287686348,0.5217391304347826,0.9290720722261714
0.0055117067708062815,0.5652173913043478,1.799428012406983
0.008703934448113909,0.6956521739130435,2.1217973506183547
-0.001983029315083699,0.5652173913043478,0.7932813619866397
0.006648405671052839,0.5652173913043478,2.1269356347276203
0.007070426279600407,0.6521739130434783,2.21741044817235
-0.005569442504006344,0.43478260869565216,0.5479720245582372
0.008004649267162595,0.782608695652174,2.6695329834074393
0.004094494745723702,0.5652173913043478,1.4990573698686274
-0.0023937325239655072,0.43478260869565216,0.7967822395966284
-0.002170954603807485,0.5217391304347826,0.8104334180073096
0.00334966685068286,0.6521739130434783,1.4680578572780214
-0.006861104091519685,0.391304347826087,0.5262887282049103
0.008040067299827333,0.6521739130434783,2.262426819768807
0.0018475143797292547,0.5217391304347826,1.2107377427648025
0.0016573538918319938,0.5652173913043478,1.202019662105656
0.00011049279674766128,0.5217391304347826,1.0141704668054157
0.002165252624612882,0.5217391304347826,1.2525843172177096
0.0031017102524517276,0.6086956521739131,1.3115907086056946
-0.0006978336182092257,0.5652173913043478,0.9212287071417994
-0.0017373419743832972,0.5217391304347826,0.8408021739069845
0.00513868221647022,0.6521739130434783,1.8483459898433243
0.00959093078193715,0.6086956521739131,2.912880503512349
0.005962994150655463,0.6956521739130435,1.6565616456281722
0.00019306165418464527,0.5217391304347826,1.017266180058725
0.00784799262508701,0.6521739130434783,2.1469509905387563
