n,mean,median,hit_rate,t_stat,profit_factor,wins,losses,binom_p,compounded,dropped_year
21,0.01756589009914201,0.01261127596439171,0.8571428571428571,3.8858336132782805,13.235458967223684,18,3,0.0014896392822265625,0.4355719943187366,2013
22,0.01473866378895794,0.01191311461770972,0.8181818181818182,2.7877912863921184,5.008440915052755,18,4,0.004343509674072266,0.3710408373939713,2014
21,0.011658945753330421,0.0075593952483801186,0.8095238095238095,2.314710477997481,4.026727132359001,17,4,0.007197380065917969,0.26892620367260367,2015
21,0.011729127083780605,0.0075593952483801186,0.8095238095238095,2.241932278448844,4.044946595898228,17,4,0.007197380065917969,0.27028163051990517,2016
22,0.014772325522616597,0.01191311461770972,0.8181818181818182,2.7963524533239306,5.017595820300682,18,4,0.004343509674072266,0.37205545377094795,2017
22,0.014461369042682864,0.01191311461770972,0.8181818181818182,2.722382057527967,4.933025692722293,18,4,0.004343509674072266,0.36273949725285703,2018
20,0.012702727817087988,0.009387174259703923,0.8,2.265238214417963,4.1406654845124,16,4,0.01181793212890625,0.2796700954584741,2019
21,0.011617708387065375,0.0075593952483801186,0.8095238095238095,2.2378920484031446,4.016021682828474,17,4,0.007197380065917969,0.267452522426628,2020
22,0.01532526027158016,0.01191311461770972,0.8636363636363636,2.958588629344199,5.855625691807951,19,3,0.0008554458618164062,0.38893932991077285,2021
21,0.01543303516595282,0.011214953271027728,0.8571428571428571,2.838872506795894,5.637408936020918,18,3,0.0014896392822265625,0.37101609067821406,2022
21,0.014174930599052985,0.011214953271027728,0.8095238095238095,2.5501386255549012,4.6798907852542255,17,4,0.007197380065917969,0.3354094391261484,2023
22,0.014294769338562087,0.010085335606385915,0.8181818181818182,2.6872476461914596,4.887715949587117,18,4,0.004343509674072266,0.3578001874467316,2024
20,0.015476953710968161,0.01191311461770972,0.85,2.6996790037113656,5.228433747703794,17,3,0.0025768280029296875,0.351294640210547,2025
