signal_date,entry_ct,exit_ct,surprise_roc,entry_price,exit_price_5d,fwd_return_5d
2013-09-01,2013-09-03 08:00 CDT,2013-09-10 08:00 CDT,-0.18040868835000023,743.2134690197782,705.5004329188259,-0.050743208610968704
2013-09-08,2013-09-10 08:00 CDT,2013-09-17 08:00 CDT,-0.12577177259999983,705.5004329188259,710.8335895391626,0.0075593952483801186
2014-09-07,2014-09-09 08:00 CDT,2014-09-16 08:00 CDT,-0.19121033099999973,505.07891481385474,505.8109132411212,0.0014492753623189802
2015-09-06,2015-09-08 08:00 CDT,2015-09-15 08:00 CDT,-0.27864241150000035,482.9063161376347,512.7598995401651,0.06182065217391308
2015-09-20,2015-09-22 08:00 CDT,2015-09-29 08:00 CDT,-0.1652160713000006,499.63744529729456,509.1512246233757,0.019041365725541715
2016-09-04,2016-09-06 08:00 CDT,2016-09-13 08:00 CDT,-0.3085532782999998,398.19025476304193,410.45169447860906,0.030792917628945427
2016-09-25,2016-09-27 08:00 CDT,2016-10-04 08:00 CDT,-0.34083619639999974,403.7079026350471,423.3262061799545,0.04859529233105553
2017-09-17,2017-09-19 08:00 CDT,2017-09-26 08:00 CDT,-0.1542995240999998,387.5728553659363,387.84753492324734,0.0007087172218285254
2018-09-02,2018-09-04 08:00 CDT,2018-09-11 08:00 CDT,-0.16074574274999964,349.33773614546897,351.97515213558574,0.007549759780370646
2019-09-08,2019-09-10 08:00 CDT,2019-09-17 08:00 CDT,-0.14960785455000014,309.4909852940342,318.96739681312783,0.030619345859429492
2019-09-22,2019-09-24 08:00 CDT,2019-10-01 08:00 CDT,-0.14016568450000033,319.82888876940905,332.5358951245573,0.03973063973063984
2019-09-29,2019-10-01 08:00 CDT,2019-10-08 08:00 CDT,-0.1003175505999998,332.5358951245573,332.9666411026979,0.0012953367875645494
2020-09-06,2020-09-08 08:00 CDT,2020-09-15 08:00 CDT,-0.3661862461999996,280.51309227147993,289.1624097626819,0.03083391730904017
2020-09-27,2020-09-29 08:00 CDT,2020-10-06 08:00 CDT,-0.1086817316999995,285.8206280047175,300.36720742173884,0.05089408528198058
2021-09-05,2021-09-07 08:00 CDT,2021-09-14 08:00 CDT,-0.1171264862000001,475.2355466144045,469.79132078206766,-0.011455847255369855
2022-09-18,2022-09-20 08:00 CDT,2022-09-27 08:00 CDT,-0.14921731795000026,648.1245444813642,640.9918458993976,-0.011005135730007276
2022-09-25,2022-09-27 08:00 CDT,2022-10-04 08:00 CDT,-0.11988524769999986,640.9918458993976,649.0755709589597,0.01261127596439171
2023-09-03,2023-09-05 08:00 CDT,2023-09-12 08:00 CDT,-0.2693179706999995,532.5450134112232,536.1395540001878,0.00674974039460019
2023-09-17,2023-09-19 08:00 CDT,2023-09-26 08:00 CDT,-0.21653461724999978,519.8258697887329,530.8859946778548,0.02127659574468077
2024-09-01,2024-09-03 08:00 CDT,2024-09-10 08:00 CDT,-0.16033234840000032,389.3094611250965,393.6755485395835,0.011214953271027728
2025-09-07,2025-09-09 08:00 CDT,2025-09-16 08:00 CDT,-0.7391532635499998,368.5417946690328,375.1346711389618,0.017889087656529412
2025-09-21,2025-09-23 08:00 CDT,2025-09-30 08:00 CDT,-0.21274354149999963,371.6184703549997,368.7615572180305,-0.007687758722649263
2025-09-28,2025-09-30 08:00 CDT,2025-10-07 08:00 CDT,-0.21338554784999997,368.7615572180305,370.9591827080069,0.005959475566150285
