scenario,round_trip_cost,trades,mean_return,median_return,hit_rate,t_stat,profit_factor,total_compounded_return
No cost,0.0,23,0.01416086429214755,0.011214953271027728,0.8260869565217391,2.784991803641328,5.02635710271548,0.37302785310033926
5 bps round-trip,0.0005,23,0.01366086429214755,0.010714953271027727,0.8260869565217391,2.6866576996563873,4.7904751608600185,0.35753405448552344
10 bps round-trip,0.001,23,0.013160864292147549,0.010214953271027727,0.782608695652174,2.588323595671447,4.553514790570473,0.3422075703907579
20 bps round-trip,0.002,23,0.012160864292147548,0.009214953271027728,0.6956521739130435,2.3916553877015665,4.058881201638512,0.3120496608207639
50 bps round-trip,0.005,23,0.009160864292147549,0.006214953271027728,0.6956521739130435,1.8016507637919255,2.8739102004655543,0.22541548441536374
100 bps round-trip,0.01,23,0.00416086429214755,0.0012149532710277276,0.5217391304347826,0.8183097239425237,1.5995472300331903,0.0930543444997427
