year,month,entry_timestamp,exit_timestamp,entry_price,exit_price,return
2012,6,2012-06-01 13:00:00+00:00,2012-07-02 13:00:00+00:00,623.8255502274295,795.831818445478,0.27572815533980566
2012,7,2012-07-02 13:00:00+00:00,2012-08-01 13:00:00+00:00,795.831818445478,966.9296028525156,0.21499238964992373
2012,8,2012-08-01 13:00:00+00:00,2012-09-04 13:00:00+00:00,966.9296028525156,975.7116130256204,0.009082367679298597
2012,9,2012-09-04 13:00:00+00:00,2012-10-01 13:00:00+00:00,975.7116130256204,922.7167240499892,-0.054314090626939815
2012,10,2012-10-01 13:00:00+00:00,2012-11-01 13:00:00+00:00,922.7167240499892,922.7167240499892,0.0
2013,6,2013-06-03 13:00:00+00:00,2013-07-01 13:00:00+00:00,873.1139267008364,771.7839509144392,-0.11605584642233857
2013,7,2013-07-01 13:00:00+00:00,2013-08-01 13:00:00+00:00,771.7839509144392,723.4046015728134,-0.06268509378084908
2013,8,2013-08-01 13:00:00+00:00,2013-09-03 13:00:00+00:00,723.4046015728134,743.2134690197782,0.02738283307003697
2013,9,2013-09-03 13:00:00+00:00,2013-10-01 13:00:00+00:00,743.2134690197782,671.2158546452329,-0.0968733982573039
2013,10,2013-10-01 13:00:00+00:00,2013-11-01 13:00:00+00:00,671.2158546452329,649.8832281638861,-0.03178206583427923
2014,6,2014-06-02 13:00:00+00:00,2014-07-01 13:00:00+00:00,675.6232868526733,615.9766765447229,-0.08828382838283821
2014,7,2014-07-01 13:00:00+00:00,2014-08-01 13:00:00+00:00,615.9766765447229,534.358851904513,-0.13250148544266194
2014,8,2014-08-01 13:00:00+00:00,2014-09-02 13:00:00+00:00,534.358851904513,535.0908503317794,0.001369863013698458
2014,9,2014-09-02 13:00:00+00:00,2014-10-01 13:00:00+00:00,535.0908503317794,467.3809958096322,-0.12653898768809846
2014,10,2014-10-01 13:00:00+00:00,2014-11-03 14:00:00+00:00,467.3809958096322,545.704827527143,0.16758026624902111
2015,6,2015-06-01 13:00:00+00:00,2015-07-01 13:00:00+00:00,478.2765305483776,560.3287961705706,0.17155821032680474
2015,7,2015-07-01 13:00:00+00:00,2015-08-03 13:00:00+00:00,560.3287961705706,492.74815681978754,-0.1206088992974238
2015,8,2015-08-03 13:00:00+00:00,2015-09-01 13:00:00+00:00,492.74815681978754,487.1711137665676,-0.01131824234354184
2015,9,2015-09-01 13:00:00+00:00,2015-10-01 13:00:00+00:00,487.1711137665676,508.1670405551604,0.04309764309764308
2015,10,2015-10-01 13:00:00+00:00,2015-11-02 14:00:00+00:00,508.1670405551604,498.981322585151,-0.018076178179470603
2016,6,2016-06-01 13:00:00+00:00,2016-07-01 13:00:00+00:00,505.610691117277,453.97980546887226,-0.10211588986441922
2016,7,2016-07-01 13:00:00+00:00,2016-08-01 13:00:00+00:00,453.97980546887226,416.2758783435034,-0.08305199189736667
2016,8,2016-08-01 13:00:00+00:00,2016-09-01 13:00:00+00:00,416.2758783435034,389.9137829550341,-0.06332842415316642
2016,9,2016-09-01 13:00:00+00:00,2016-10-03 13:00:00+00:00,389.9137829550341,411.9843744430549,0.05660377358490565
2016,10,2016-10-03 13:00:00+00:00,2016-11-01 13:00:00+00:00,411.9843744430549,433.7484299381865,0.05282738095238093
2017,6,2017-06-01 13:00:00+00:00,2017-07-03 13:00:00+00:00,429.6748634981473,438.3885734684864,0.020279775966872915
2017,7,2017-07-03 13:00:00+00:00,2017-08-01 13:00:00+00:00,438.3885734684864,420.25972268595496,-0.04135338345864681
2017,8,2017-08-01 13:00:00+00:00,2017-09-01 13:00:00+00:00,420.25972268595496,395.2638829706465,-0.05947712418300666
2017,9,2017-09-01 13:00:00+00:00,2017-10-02 13:00:00+00:00,395.2638829706465,389.7702918244249,-0.013898540653231373
2017,10,2017-10-02 13:00:00+00:00,2017-11-01 13:00:00+00:00,389.7702918244249,380.7058664331592,-0.023255813953488302
2018,6,2018-06-01 13:00:00+00:00,2018-07-02 13:00:00+00:00,401.06692705141137,354.6125681257025,-0.11582695004854893
2018,7,2018-07-02 13:00:00+00:00,2018-08-01 13:00:00+00:00,354.6125681257025,368.75870843632896,0.03989181879648429
2018,8,2018-08-01 13:00:00+00:00,2018-09-04 13:00:00+00:00,368.75870843632896,349.33773614546897,-0.052665799739922026
2018,9,2018-09-04 13:00:00+00:00,2018-10-01 13:00:00+00:00,349.33773614546897,344.30266925524603,-0.014413177762525708
2018,10,2018-10-01 13:00:00+00:00,2018-11-01 13:00:00+00:00,344.30266925524603,350.05703141550083,0.01671309192200554
2019,6,2019-06-03 13:00:00+00:00,2019-07-01 13:00:00+00:00,377.8130940650178,369.1493032665098,-0.02293142015087779
